name,short,group,status,r2,mae,rmse,peak_r2,peak_mae,rel_mae,peak_rel_mae_pct,weighted_mm,r2_small_all,r2_large_all,median_peak_mm,n_params,feat_dim,vocab_size,enc_mode
full_token,"full_token
(基准)",Baseline,完成,0.9138981699943542,1.1105180978775024,3.5600473092182456,0.9641664624214172,2.31593918800354,0.05300239846110344,13.933868408203125,,0.9477874636650085,0.9136215448379517,8.74814224243164,5380004.0,32768.0,283.0,token
no_token,no_token,Encoding,完成,0.09600251913070679,4.208527088165283,11.535412210375547,-0.08674824237823486,12.872897148132324,0.18027302622795105,53.54872512817383,,0.5199769735336304,0.09254294633865356,8.74814224243164,5372356.0,,,
no_sa,no_sa,Architecture,完成,0.9339052438735962,0.9258511662483215,3.1191270191371223,0.9607285857200623,2.501838445663452,0.04486040771007538,11.774551391601562,,0.9547770023345947,0.9337347745895386,8.74814224243164,4326052.0,32768.0,283.0,token
no_cross_attn,"no_cross
_attn",Architecture,完成,0.8867858648300171,1.2767850160598755,4.082252956374592,0.9610419273376465,2.140491485595703,0.06041751801967621,11.769780158996582,,0.9315802454948425,0.8864202499389648,8.74814224243164,4326052.0,32768.0,283.0,token
no_film,no_film,Architecture,完成,0.8899940252304077,1.207495927810669,4.023996614291699,0.9670167565345764,1.9931195974349976,0.053720079362392426,12.630971908569336,,0.9400432109832764,0.8895856142044067,8.74814224243164,4852644.0,32768.0,283.0,token
no_conv,no_conv,Architecture,完成,0.9113125205039978,1.185349702835083,3.613105728422674,0.9572227001190186,2.5585551261901855,0.06339536607265472,13.34842300415039,,0.9152538776397705,0.9112798571586609,8.74814224243164,4555684.0,32768.0,283.0,token
no_ffn,no_ffn,Architecture,完成,0.9350993633270264,0.9996532797813416,3.0908226266282806,0.951151967048645,2.8346314430236816,0.04951634258031845,14.522351264953613,,0.9548549652099609,0.9349380135536194,8.74814224243164,3800996.0,32768.0,283.0,token
no_cond_params,"no_cond
_params",Architecture,完成,0.815913200378418,1.6276891231536865,5.205480643735005,0.9381492137908936,3.0039851665496826,0.07880108803510666,17.044578552246094,,0.8591820001602173,0.8155596256256104,8.74814224243164,5380004.0,32768.0,283.0,token
no_bypass,no_bypass,Architecture,完成,-0.00011324882507324219,4.902462005615234,12.133165264712268,-0.5401036739349365,17.787015914916992,0.25036489963531494,98.16293334960938,,-0.0022922754287719727,-0.00010156631469726562,8.74814224243164,5346210.0,32768.0,283.0,token
no_motion,no_motion,Input Data,完成,-4.5299530029296875e-06,4.895992279052734,12.132505416870117,-0.5313979387283325,17.639551162719727,0.24749517440795898,94.58818054199219,1.8554409742355347,0.00021582841873168945,-1.239776611328125e-05,8.74814224243164,,,,
no_struct_feat,"no_struct
_feat",Input Data,完成,0.006713688373565674,4.716874599456787,12.091682434082031,-0.39070188999176025,15.456751823425293,0.2336222231388092,76.79840850830078,1.5983598232269287,0.32527071237564087,0.004112541675567627,8.74814224243164,,,,
no_peak_loss,"no_peak
_loss",Loss,完成,0.9499960541725159,0.8541584610939026,2.713011022852585,0.9802430868148804,1.5350162982940674,0.04034591466188431,8.58111572265625,,0.9675143361091614,0.9498530626296997,8.74814224243164,5380004.0,32768.0,283.0,token
no_high_loss,"no_high
_loss",Loss,完成,0.5314085483551025,2.516688585281372,8.305134887702287,0.9464735984802246,2.6399664878845215,0.10880964249372482,17.795879364013672,,0.8115488290786743,0.5291235446929932,8.74814224243164,5380004.0,32768.0,283.0,token
no_shape_loss,"no_shape
_loss",Loss,完成,0.9023593068122864,1.1697287559509277,3.7910972558911604,0.9599530696868896,2.4208016395568848,0.054376594722270966,13.936620712280273,,0.9460810422897339,0.9020025730133057,8.74814224243164,5380004.0,32768.0,283.0,token
enc_direct,"enc
direct",Encoder Scheme,完成,0.10223853588104248,4.218533039093018,11.495556180091873,-0.07319700717926025,12.825546264648438,0.18634505569934845,54.01527404785156,,0.46708083152770996,0.09926086664199829,8.74814224243164,9561028.0,32768.0,,direct
enc_cont,"enc
cont",Encoder Scheme,完成,0.9040479063987732,1.255554437637329,3.7581728566172745,0.941494882106781,2.919609785079956,0.06466849893331528,17.419837951660156,,0.8578205108642578,0.9044239521026611,8.74814224243164,30532548.0,196608.0,,cont
