name,desc,r2,rmse,mae,peak_r2,peak_mae,mape_all,num_samples,rel_rmse,rel_mae,rel_r2,peak_rel_mae_pct,r2_small_all,r2_large_all,r2_small_peak,r2_large_peak,median_peak_mm,n_small,n_large,enc_mode,n_params,feat_dim,vocab_size,weighted_mm
full_token,完整模型 + Token 编码 (本文基准),0.9139,3.56,1.1105,0.9642,2.3159,105.0306,4606.0,0.0984,0.053,0.9194,13.9339,0.9478,0.9136,0.8758,0.9472,8.7481,2303,2303,token,5380004.0,32768.0,283.0,
no_token,完整模型 + 无 Token (44维物理特征),0.096,11.5354,4.2085,-0.0867,12.8729,226.0778,4606.0,0.2754,0.1803,0.3683,53.5487,0.52,0.0925,-0.0356,-0.6185,8.7481,2303,2303,,5372356.0,,,
no_sa,去掉自注意力,0.9339,3.1191,0.9259,0.9607,2.5018,80.6278,4606.0,0.0913,0.0449,0.9306,11.7746,0.9548,0.9337,0.9433,0.9416,8.7481,2303,2303,token,4326052.0,32768.0,283.0,
no_cross_attn,去掉结构交叉注意力,0.8868,4.0823,1.2768,0.961,2.1405,155.2551,4606.0,0.1094,0.0604,0.9004,11.7698,0.9316,0.8864,0.9045,0.9424,8.7481,2303,2303,token,4326052.0,32768.0,283.0,
no_film,去掉 FiLM 结构条件注入,0.89,4.024,1.2075,0.967,1.9931,103.8232,4606.0,0.1026,0.0537,0.9124,12.631,0.94,0.8896,0.8803,0.9515,8.7481,2303,2303,token,4852644.0,32768.0,283.0,
no_conv,去掉局部卷积,0.9113,3.6131,1.1853,0.9572,2.5586,155.5742,4606.0,0.1224,0.0634,0.8752,13.3484,0.9153,0.9113,0.9001,0.9367,8.7481,2303,2303,token,4555684.0,32768.0,283.0,
no_ffn,去掉 SwiGLU FFN,0.9351,3.0908,0.9997,0.9512,2.8346,135.91,4606.0,0.0882,0.0495,0.9352,14.5224,0.9549,0.9349,0.8987,0.9276,8.7481,2303,2303,token,3800996.0,32768.0,283.0,
no_cond_params,去掉结构参数条件注入,0.8159,5.2055,1.6277,0.9381,3.004,163.1621,4606.0,0.1431,0.0788,0.8294,17.0446,0.8592,0.8156,0.8265,0.9087,8.7481,2303,2303,token,5380004.0,32768.0,283.0,
no_bypass,去掉 motion->位移 残差旁路,-0.0001,12.1332,4.9025,-0.5401,17.787,479.2639,4606.0,0.3483,0.2504,-0.0105,98.1629,-0.0023,-0.0001,-2.9233,-1.2769,8.7481,2303,2303,token,5346210.0,32768.0,283.0,
no_motion,不用真实地震动输入 (置零),-0.0,12.1325,4.896,-0.5314,17.6396,,,,0.2475,,94.5882,0.0002,-0.0,,,8.7481,2303,2303,token,,,,1.8554
no_struct_feat,不用结构特征 (token 置零),0.0067,12.0917,4.7169,-0.3907,15.4568,,,,0.2336,,76.7984,0.3253,0.0041,,,8.7481,2303,2303,token,,,,1.5984
no_peak_loss,去掉峰值惩罚,0.95,2.713,0.8542,0.9802,1.535,73.8012,4606.0,0.0734,0.0403,0.9551,8.5811,0.9675,0.9499,0.9646,0.9707,8.7481,2303,2303,token,5380004.0,32768.0,283.0,
no_high_loss,去掉大位移加权,0.5314,8.3051,2.5167,0.9465,2.64,248.2843,4606.0,0.1791,0.1088,0.7328,17.7959,0.8115,0.5291,0.7669,0.9215,8.7481,2303,2303,token,5380004.0,32768.0,283.0,
no_shape_loss,去掉波形形状损失,0.9024,3.7911,1.1697,0.96,2.4208,116.1359,4606.0,0.0913,0.0544,0.9306,13.9366,0.9461,0.902,0.8972,0.9408,8.7481,2303,2303,token,5380004.0,32768.0,283.0,
enc_direct,结构编码: 直接 32 位整数归一化 + MLP (上一版),0.1022,11.4956,4.2185,-0.0732,12.8255,205.3631,4606.0,0.2813,0.1863,0.3412,54.0153,0.4671,0.0993,-0.0319,-0.5982,8.7481,2303,2303,direct,9561028.0,32768.0,,
enc_cont,结构编码: 6 通道连续物理量 + MLP (embedding 启发),0.904,3.7582,1.2556,0.9415,2.9196,126.7682,4606.0,0.2734,0.0647,0.3777,17.4198,0.8578,0.9044,0.6455,0.9149,8.7481,2303,2303,cont,30532548.0,196608.0,,
